title
01 Und wenn's im Tal scho nachte tuet. Walzer  C  (wz07869)
02 Und z'Luterbach hani. Walzer  C  (wz07872)
03 Im Storchenhaus. Walzer  F  (wz07868)
04 Rümliker Walzer  C  (wz07876)
066
100 Psalm. JMP.102
100 Psalm. JMP.102
100 Watt Reels
108 Walzer  CF  (wz06690)
10 Der Schöne (Polka)  BbFEb (pk07667)  ABACD
10. FIRE IN THE MOUNTAIN
10 Freuden-Schottisch  C  (st06809)
10 Frohsinn-Polka CG (pk07569)  ABAC
10. Gaillarde
10 Leichter Sinn (Polka) GC (pk07258)  ABAC
10 Liebesbote. Polka  CF (pk07027) ABCA
10 Mazurka  CF  (mz07789)
10 Mazurka  GD (mz07811)  ABAC
10 Polka  CF (pk06683)
The 10 pound Fiddle
10 Schottisch  BbFEbAb  (st08063)  ABACD
10 Schottisch FBb (st07238)
10th Bat Crossing Rhine
10th Bat Crossing Rhine
10th Bat Crossing Rhine
1151m to Donegal
11 Amadee-Schottisch  CGF  (st06811)  ABAC
11A. THE HONEYCOMB ROCK
11b. Look Right
11B. THE MCCLELLANTOWN HORNPIPE
"11c. Rolling Jig, The"
11. DROPS OF BRANDY (32 bar polka)
11. Gaillarde
11 Polka FCBb (pk07589)  ABAC
11 Schottisch CG (st07234)
"11th of October, The"
"11th of September, The"
11 Winters Abschied (Polka)  FCBb  (pk069941)  ABACD
"1,2,3,4"
1 2 3 4
128 South
12. Adam's Hornpipe
12. Gaillarde
12 In Lust und Freud (Polka)  CF (st07093)
12. Julie's Waltz
12. PAT-A-CAKE POLKA (polkas)
12 Polka FBb (pk07594)
Der 12. Psalm
12. REEL
12 Schottisch GD (st07243)
"12th of August. MBe.106, The"
"12th of August. RH.132, The"
"12th of August,The. RH.132"
12 Weeks And A Day
13. Gaillarde
13 Jugendfreuden (Schottisch)  FCBb (st07097)  ABACA
13. QUADRILLE
13 Schottisch CG (st07248)
13th Regt. of Light Dragoons March. JMP.051
13th Regt. of Light Dragoons March. JMP.051
13th Regt. of Light Dragoons March. JMP.051
148 Psalm New Ver.. WHG.073
148 Psalm New Ver.. WHG.075
149th Psalm. JMP.105
149th Psalm. JMP.105
14 Blitz-Schottisch  CF (st06637)
14. Gaillarde
14th February or Valentine's Day TS.074
The 14th of October
"14th of October, The. A Troop"
The $150 Boot
151  Cuddle Me Cuddy     (E/J)  (Pe)
15a. Chloe's Wild Ride
15 Berner Oberländer-Schottisch  CGF (st06668)
15. Gaillarde 15
"15th Regt. March. BF11.01, The"
"15th Regt. March,The. BF11.01"
15th Scottish Division
15th Scottish Division
15th Scottish Division
16-delspolska efter Sammil Gustaf Zetterström
16 Schnell-Schottisch  CGF (st06671) ABAC
16. THE COUNTRY BUMPKIN (hornpipes)
"16th of October. BF11.22, The"
"16th of October,The. BF11.22"
"16th of October,The. BF11.22"
17. Kat's Delight
17 Schottisch  BbFEb (st06682) ABAC
"17th of March,The 1/10"
17th Regt.Slow March. JMP.078
17th Regt.Slow March. JMP.078
17th Regt.Slow March. JMP.078
1802 Station Fiddler's Reel
1812
1814
"1867, Polska efter Alfred Nilsson"
18-6 Two Step
"18a. Bobbing Cork, The"
18c. Silvermines
18 Schottisch  FBb (st06691)
1910
1921
1980
19 Schottisch  FC (st06693)
19. THE ROAD TO BOSTON
"19th Psalm,To the. JMP.103"
"19th Psalm,To the. JMP.103"
1A. BUFFALO GALS
1 Albertine-Walzer  CF  (wz07026)  ABCDA
1. Allemaingne
1 Aluetten-Polka  CF (pk07035)
1 Anna-Walzer  BbF (wz07668)
1 Appenzeller-Polka  CGF  (pk08064)  ABACD
1B. BUFFALO GALS
1B. BUFFALO GALS [1]
1 Der Geisshirt. Schottisch  FCBb (st06821) ABAC
1 Der Liebenswürdige (Polka)  GCF (pk06846)
1 Die Witzige (Walzer)  CG (wz07662)
1 Ein Morgen im Lenze (Walzer)  FBb (wz07094)
1  Freie Bahn (Galopp)  FBb (gL07095)
1. Gaillarde
1 Galopp  FBb (gL07809)
1  Garibaldi-Schottisch  GDC ( st07058) ABCDAB
1  Gruss aus der Ferne (Walzer)  FCBb (wz06951)  ABAC
1 Hauptmann-Walzer FC (wz07282) ABCDC
1 Heideblümlein-Polka  FCBb (pk07673)
"1 Hermann, freu di. Walzer  CF (wz07070) ABCDABC"
1 Hübel-Polka  BbEb  (pk07619)
1. In Memory of Lloyd
1 Jubelklänge. Polka  CF (pk07023)
1. KENO REEL
1 Kreuzpolka  CF (kp07666)
1 Küsse mich (Polka)  FBb (pk07674)  ABCDC
1  Ländler-Walzer  CFBb (LD06819)
1 Leichte Schwalbe. Polka  FC (pk07032)
1  Liebenswürdige Grasmücke. Schottisch  CFBb  (st07136)
1  Lieblingswalzer  CF (wz06830)
1 Liseli-Walzer  BbFEb (wz06814)
1 Lörracher-Walzer  CF  (wz07784)
1 Luterbacher-Walzer  C (wz06797)
1 Mahle-Walzer  CF  (wz07034)  ABC
1 Marie-Walzer CF (wz07556)
1 Matrosen-Walzer  CF (wz06640)
1. Mazurka
1 Mazurka  BbF (mz06641)
1 Mazurka  FBb (mz06822)
1 Mazurka FCBb (mz07281) ABACDC
1 Mazurka  FC (mz07813)
1. McDONALD'S FANCY -- Strathspey
1 Nach Hause. Cherus. Walzer  GC  (wz07640)
1  Neujahrsgruss. Schottisch  CG  (st07880)
1 Niedlicher Fuss. Mazurka  CF ( mz07020) ABCDA
1 Palm Set Total
1 Pariser Walzer.  CF  (wz07867)
1 Polka  CF (pk06796)
1 Polka  CF (pk07875)
1 Polka  CGF (pk07838)
1 Polka  CGF (pk07838) ABCD-ABC
1 Polka CG (pk07277)
1 Polka  CG (pk07807)
1 Polka  FBb (pk07048)
1 Polka FCBbEb (pk07604)  ABACD
1 Polka  FCBb (pk06635)  ABACDC
1 Polka  FCBb (pk07008)  ABAC
1. Pour quoy
1. Pour quoy
1. Pour quoy
1. Pour quoy
1. Pour quoy
1 Rosa-Walzer  BbFEb (wz07681)
1 Rümliker-Polka  CF (pk07884)
1 Schätzeli-Walzer  GC (wz07675)
1 Schlummer-Schottisch  CF ( st07022) ABCAB
1 Schön-Gretchen-Polka  GC (pk07066)
1 Schottisch  BbEb  (st07622)
1 Schottisch  CF (st06795)
1 Schottisch  CF (st07828)
1  Schottisch  FBb ( st07045) ABCA
1 Schottisch FC (st07254)
1 Schottisch  GC (st06745)  ABAC
1  Schottisch. Schlittschuhpolka  GC (st07814)
1 Sei nicht böse. Walzer  G (wz07055) AB
1. SOUTH OF THE GRAMPIANS -- Strathspey
1st A TS.105
1st August
1st August
1st August
1st of Ap EHo.025
1st of May
1st OF MAY
1st OF MAY
THE 1st OF MAY -- Hornpipe
"1st of May, The"
1st Ps. WHG.067
1st Ps. WHG.069
1st Quick Step 42nd Reg't. RH.253
1 Tanzlied  G ( wz07003)
1. The Hill O'Nigg  2X
1. The Red House
1 Theresien-Rheinländer  BbEb (RL07795) ABCD
1 Tirolienne  AED (tr07857) ABAC
1 Varsovienne  CF (vr07842)
1 Violetta-Walzer  BbEb  (wz06962)
1 Walzer  CF  (wz07130)
1 Walzer  CGF  (wz06713) ABAC
1 Walzer  F  (wz07844)
1 Walzer  G (wz07810)
1 Walzer. Ländler  BbF ( wz07000)
1 Zigeuner-Walzer FC (wz07241)
?2
20. LARDNER'S REEL
20. LARDNER'S REEL [1]
20 of May. VWMLa.049
20 of May. VWMLa.049
20 Schottisch  CF (st06713)
"20th of May Hornpipe.Roose.1115, The"
"20th of May, The"
"20th of May,The. WCl.32"
"20th of May,The. WCl.32"
"20th of May. WCl.32, The"
"21a. Grey Eagle, The"
21st Psalm New Version. WHG.078
21st Psalm New Version. WHG.080
21. THE KING'S HEAD
22. HASTE TO THE WEDDING
22nd of March
"22nd Regiment's Quick Step, The"
23
23
"23rd Psalm,To the. JMP.0112"
"23rd Psalm,To the. JMP.0112"
23. THE WIND THAT SHOOK THE BARLEY
\24340 FLOAT
249 To Wigton
24. DANCE TUNE
24 Psalm New Ver 46 P 2 Over. WHG.068
24 Psalm New Ver 46 P 2 Over. WHG.070
"24th Ps New V. 46 2 Over,2voices. WHG.069"
"24th Ps New V. 46 2 Over,2voices. WHG.069"
"24th Ps New V. 46 2 Over,2voices. WHG.071"
250 To Vigo
250 To Vigo
250 To Vigo
250 To Vigo
25. DANCE TUNE
"25th King's Own Scottish Borderer's Farewell To Meerut, The"
the 25th K.O.S.B.s
25th or 67th Psalms. JMP.111
25th Ps. WHG.063
25th Ps. WHG.065
26. DANCE TUNE
26th Regmt.Quickstep. HSJJ.058
26th Regmt.Quickstep. HSJJ.058
26th Regmt.Quickstep. HSJJ.058
27. Keel Row
"27th of December, The"
The 28th Of January
The 29th of May - or The King enjoys his own again
"29th of May ,The. JWDM.04"
"29th of May ,The. JWDM.04"
2 Albertine-Walzer  CF (wz06801)
2. Allemaingne
2  Älplerin-Walzer  CGF (wz06836)  ABAC
The 2 AM Turtle Patrol
2 Anna-Polka  FBb  (pk08076)  ABCDC
2. ANYBODY'S HORNPIPE
2. A Stroll in the Park
2 Berliner Schottisch  CF (st06753)
2. Bourrée #2
2 Der schöne Ferdinand  (Walzer)   CGF  (wz06747) ABAC
2 Die schöne Schäferin (Walzer)  CG (wz06655)
2 Die Tänzerin im Freien (Mazurka)  BbEb (mz06820)
2D Or Not 2D
2d Quick Step 15th Regiment
2d Quick Step 30th Regt.
2d Quick Step 42nd Regiment
2 Ersiger Walzer  CF  (wz07618)
2 Federblumen-Polka  FCBb (pk07679)
2fiddles
2 Fleurette. Schottisch  FC ( st07024) ABCA
2. Gaillarde
2  Galopp  CGF (gL06657)
2 Galopp  CG (gL07812)
2 Heimische Klänge (Walzer)  FBb (wz07092)
2 Italiener-Walzer  GF (wz07065)
2 Jubel-Polka  GC (pk07063)  ABC
2 Kreuzpolka  FCBb (kp06757)  ABAC
2 Küferschurz-Polka  CF (pk06732)
2  Ländler  CF (LD07826)
2 Liebend gedenke ich dein. Walzer  BbFEb (wz07684)
2 Lieblingspolka  CGF  (pk06947)  ABAC
2 Lieder-Walzer C (wz07561)
2 Liestler Walzer  CF  (wz07776)
2. LORD McDONALD'S REEL
2. Mazurka
2 Mazurka  BbEb ( mz07046)
2 Mazurka  CFBb (mz06644)
2 Mazurka CG (mz07240) ABAC
2 Mazurka  CG (mz07820)
2 Meine erste Liebe. Walzer  DG  (wz07135)
2. Mon amy
2. Mon amy
2. Mon amy
2. Mon amy
2. Mon amy
2nd A TS.106
"2nd Battalion Scotch Brigade, The"
2nd Gaurds Slow March. JMP.082
2nd Gaurds Slow March. JMP.082
2nd Gaurds Slow March. JMP.082
2nd Quick Step 15th Reg't. RH.261
2nd Quick Step 2nd Battalion Royals
2nd Quick Step 30th Reg't. RH.271
2nd Quick Step 42nd Reg't. RH.254
2 Polka  CF (pk07843)
2 Polka  CF (pk07890)
2 Polka CGF (pk07239)  ABAC
2 Polka  GC (pk06966)
2 Polka  GC (pk07036)  ABCA
2 Polka  GDC (pk07819) ABACDC
2  Revietto-Schottisch  GC ( st07060) ABCA
2 Rheinländer  BbEb  (RL06964)
2 Ringelreihn. Rheinländer  BbDbEb  (RL07804) ABCDE
2-Rivisjenkka
2-Rivisjenkka
2  Rolle-Walzer.  BbEb  (wz07134)
2 Rosenwalzer  CF (wz06835)
2  Schottisch  CF ( st07050)
2 Schottisch  CF (st07833)  ABCDC
2  Schottisch  CG (st07815)
2 Schottisch GC (st07269)  ABCA
2 Soldatenfreuden (Schottisch)  GC  (st07631)
2. SOUTH OF THE GRAMPIANS -- Reel
2 Steirer
2. SWEET ELLEN
2 Tirolienne  ED (tr07860)
2 Titterter Walzer  CF  (wz07639)
2 Trotzköpfchen-Schottisch  CF  (st06826)
2 Unendliche Süssigkeit. Walzer  CF  (wz07019)  ABCA
2  Walzer  CF (wz06957)
2 Walzer.  CF  (wz07882)
2 Walzer CG (wz06949)
2 Walzer GD (wz07246)
2 Walzer  GD (wz07816)
2  Walzer. Grieder  FBb (wz06974) ABCD
2 Weisliger-Walzer  GC  (wz07033)  ABCA
2 Züribieter Polka  CF (pk06805)
301. Scotch Mary
30-50
30. QUADRILLE
30th Anniversary
30th Anniversary
The 30 Year
The 30 Year
The 30 Year
The 30 Year
31A. PADDY ON THE TURNPIKE
31A. PADDY ON THE TURNPIKE
31B. PADDY ON THE TURNPIKE
32 Chinesen-Walzer  CF  (wz07613)
32. HARRY COOPER
33. OLD REEL
34. LITTLE HORNPIPE
"34th Psalm,To the. JMP.108"
"34th Psalm,To the. JMP.108"
35. Tabhair Domh Do L\`amh
35. WHISKEY
36. Schottische
36 years
37. QUADRILLE
